"Reference","Qty","Value","DNP","Footprint","Datasheet","Description"
"C1","1","10nF","","Capacitor_SMD:C_0805_2012Metric","~","Capacitor"
"C2","1","100nF","","Capacitor_SMD:C_0805_2012Metric","~","Decoupling Capacitor"
"D1","1","Green LED","","LED_SMD:LED_0805_2012Metric","LG R971-KN-1-0-20-R18","Light emitting diode"
"D2","1","Red LED","","LED_SMD:LED_0805_2012Metric","LS R976-NR-1-0-20-R18","Light emitting diode"
"DS1","1","ssd1306 OLED 128x32","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","https://cdn-shop.adafruit.com/datasheets/SSD1306.pdf","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J1","1","Debug","DNP","Connector_PinSocket_1.27mm:PinSocket_1x08_P1.27mm_Vertical","~","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","1","10046971-001LF","","Connectors:CONN_10046971-001LF_AMP","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/power/pwr_powercardedge.pdf","64Pin BoardEdge Connector for HP PSUs"
"J3","1","Grove I^{2}C","DNP","Connector:NS-Tech_Grove_1x04_P2mm_Vertical","~","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"P1,P2,P3,P4,P5,P6","6","XT60","","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical","https://docs.rs-online.com/4610/A700000008956683.pdf","2 Pins non-protected generic plug"
"R1,R2,R3,R4,R5","5","R_Small","","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","~","Current Limit Resistor,Pullup Resistor,Resistor, small symbol"
"SW1","1","Power Switch","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","~","Switch, single pole double throw"
"U1","1","ATtiny404-SS","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/50002687A.pdf","20MHz, 4kB Flash, 256B SRAM, 128B EEPROM, SOIC-14"
"U2","1","LP2985-3.3","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp2985.pdf","150mA 16V Low-noise Low-dropout Regulator With Shutdown, 3.3V output voltage, SOT-23-5"
